,Class,Curator,Update
Sample001,NoMDR,HILab,2022-04-17
Sample002,MDR,HILab,2022-04-17
Sample003,NoMDR,HILab,2022-04-17
Sample004,NoMDR,HILab,2022-04-17
Sample005,NoMDR,HILab,2022-04-17
Sample006,NoMDR,HILab,2022-04-17
Sample007,MDR,HILab,2022-04-17
Sample008,NoMDR,HILab,2022-04-17
Sample009,NoMDR,HILab,2022-04-17
Sample010,NoMDR,HILab,2022-04-17
Sample011,NoMDR,HILab,2022-04-17
Sample012,NoMDR,HILab,2022-04-17
Sample013,NoMDR,HILab,2022-04-17
Sample014,MDR,HILab,2022-04-17
Sample015,NoMDR,HILab,2022-04-17
Sample016,NoMDR,HILab,2022-04-17
Sample017,NoMDR,HILab,2022-04-17
Sample018,NoMDR,HILab,2022-04-17
Sample019,NoMDR,HILab,2022-04-17
Sample020,NoMDR,HILab,2022-04-17
Sample021,MDR,HILab,2022-04-17
Sample022,NoMDR,HILab,2022-04-17
Sample023,NoMDR,HILab,2022-04-17
Sample024,NoMDR,HILab,2022-04-17
Sample025,MDR,HILab,2022-04-17
Sample026,NoMDR,HILab,2022-04-17
Sample027,MDR,HILab,2022-04-17
Sample028,NoMDR,HILab,2022-04-17
Sample029,NoMDR,HILab,2022-04-17
Sample030,NoMDR,HILab,2022-04-17
Sample031,NoMDR,HILab,2022-04-17
Sample032,NoMDR,HILab,2022-04-17
Sample033,NoMDR,HILab,2022-04-17
Sample034,NoMDR,HILab,2022-04-17
Sample035,NoMDR,HILab,2022-04-17
Sample036,NoMDR,HILab,2022-04-17
Sample037,NoMDR,HILab,2022-04-17
Sample038,MDR,HILab,2022-04-17
Sample039,NoMDR,HILab,2022-04-17
Sample040,MDR,HILab,2022-04-17
Sample041,NoMDR,HILab,2022-04-17
Sample042,MDR,HILab,2022-04-17
Sample043,MDR,HILab,2022-04-17
Sample044,NoMDR,HILab,2022-04-17
Sample045,MDR,HILab,2022-04-17
Sample046,NoMDR,HILab,2022-04-17
Sample047,NoMDR,HILab,2022-04-17
Sample048,NoMDR,HILab,2022-04-17
Sample049,MDR,HILab,2022-04-17
Sample050,NoMDR,HILab,2022-04-17
Sample051,MDR,HILab,2022-04-17
Sample052,NoMDR,HILab,2022-04-17
Sample053,MDR,HILab,2022-04-17
Sample054,NoMDR,HILab,2022-04-17
Sample055,NoMDR,HILab,2022-04-17
Sample056,NoMDR,HILab,2022-04-17
Sample057,NoMDR,HILab,2022-04-17
Sample058,NoMDR,HILab,2022-04-17
Sample059,NoMDR,HILab,2022-04-17
Sample060,NoMDR,HILab,2022-04-17
Sample061,NoMDR,HILab,2022-04-17
Sample062,NoMDR,HILab,2022-04-17
Sample063,MDR,HILab,2022-04-17
Sample064,NoMDR,HILab,2022-04-17
Sample065,MDR,HILab,2022-04-17
Sample066,NoMDR,HILab,2022-04-17
Sample067,NoMDR,HILab,2022-04-17
Sample068,NoMDR,HILab,2022-04-17
Sample069,NoMDR,HILab,2022-04-17
Sample070,NoMDR,HILab,2022-04-17
Sample071,NoMDR,HILab,2022-04-17
Sample072,MDR,HILab,2022-04-17
Sample073,NoMDR,HILab,2022-04-17
Sample074,NoMDR,HILab,2022-04-17
Sample075,NoMDR,HILab,2022-04-17
Sample076,NoMDR,HILab,2022-04-17
Sample077,MDR,HILab,2022-04-17
Sample078,NoMDR,HILab,2022-04-17
Sample079,NoMDR,HILab,2022-04-17
Sample080,NoMDR,HILab,2022-04-17
Sample081,NoMDR,HILab,2022-04-17
Sample082,NoMDR,HILab,2022-04-17
Sample083,NoMDR,HILab,2022-04-17
Sample084,NoMDR,HILab,2022-04-17
Sample085,NoMDR,HILab,2022-04-17
Sample086,NoMDR,HILab,2022-04-17
Sample087,NoMDR,HILab,2022-04-17
Sample088,NoMDR,HILab,2022-04-17
Sample089,NoMDR,HILab,2022-04-17
Sample090,NoMDR,HILab,2022-04-17
Sample091,NoMDR,HILab,2022-04-17
Sample092,NoMDR,HILab,2022-04-17
Sample093,NoMDR,HILab,2022-04-17
Sample094,NoMDR,HILab,2022-04-17
Sample095,NoMDR,HILab,2022-04-17
Sample096,NoMDR,HILab,2022-04-17
Sample097,NoMDR,HILab,2022-04-17
Sample098,NoMDR,HILab,2022-04-17
Sample099,NoMDR,HILab,2022-04-17
Sample100,NoMDR,HILab,2022-04-17
Sample101,NoMDR,HILab,2022-04-17
Sample102,NoMDR,HILab,2022-04-17
Sample103,NoMDR,HILab,2022-04-17
Sample104,NoMDR,HILab,2022-04-17
Sample105,MDR,HILab,2022-04-17
Sample106,NoMDR,HILab,2022-04-17
Sample107,NoMDR,HILab,2022-04-17
Sample108,MDR,HILab,2022-04-17
Sample109,NoMDR,HILab,2022-04-17
Sample110,MDR,HILab,2022-04-17
Sample111,NoMDR,HILab,2022-04-17
Sample112,NoMDR,HILab,2022-04-17
Sample113,NoMDR,HILab,2022-04-17
Sample114,NoMDR,HILab,2022-04-17
Sample115,NoMDR,HILab,2022-04-17
Sample116,MDR,HILab,2022-04-17
Sample117,NoMDR,HILab,2022-04-17
Sample118,MDR,HILab,2022-04-17
Sample119,NoMDR,HILab,2022-04-17
Sample120,NoMDR,HILab,2022-04-17
Sample121,MDR,HILab,2022-04-17
Sample122,NoMDR,HILab,2022-04-17
Sample123,NoMDR,HILab,2022-04-17
Sample124,NoMDR,HILab,2022-04-17
Sample125,NoMDR,HILab,2022-04-17
