,Class,Curator,Update
Sample001,Tumor,HILab,2022-04-17
Sample002,Tumor,HILab,2022-04-17
Sample003,Tumor,HILab,2022-04-17
Sample004,Tumor,HILab,2022-04-17
Sample005,Tumor,HILab,2022-04-17
Sample006,Tumor,HILab,2022-04-17
Sample007,Tumor,HILab,2022-04-17
Sample008,Tumor,HILab,2022-04-17
Sample009,Tumor,HILab,2022-04-17
Sample010,Tumor,HILab,2022-04-17
Sample011,Tumor,HILab,2022-04-17
Sample012,Tumor,HILab,2022-04-17
Sample013,Tumor,HILab,2022-04-17
Sample014,Tumor,HILab,2022-04-17
Sample015,Tumor,HILab,2022-04-17
Sample016,Tumor,HILab,2022-04-17
Sample017,Tumor,HILab,2022-04-17
Sample018,Tumor,HILab,2022-04-17
Sample019,Normal,HILab,2022-04-17
Sample020,Normal,HILab,2022-04-17
Sample021,Normal,HILab,2022-04-17
Sample022,Normal,HILab,2022-04-17
Sample023,Normal,HILab,2022-04-17
Sample024,Normal,HILab,2022-04-17
Sample025,Normal,HILab,2022-04-17
Sample026,Normal,HILab,2022-04-17
Sample027,Normal,HILab,2022-04-17
Sample028,Normal,HILab,2022-04-17
Sample029,Normal,HILab,2022-04-17
Sample030,Normal,HILab,2022-04-17
Sample031,Normal,HILab,2022-04-17
Sample032,Normal,HILab,2022-04-17
Sample033,Normal,HILab,2022-04-17
Sample034,Normal,HILab,2022-04-17
Sample035,Normal,HILab,2022-04-17
Sample036,Normal,HILab,2022-04-17
