,Class,Curator,Update
Sample001,Pos,HILab,2022-04-17
Sample002,Pos,HILab,2022-04-17
Sample003,Pos,HILab,2022-04-17
Sample004,Pos,HILab,2022-04-17
Sample005,Pos,HILab,2022-04-17
Sample006,Pos,HILab,2022-04-17
Sample007,Pos,HILab,2022-04-17
Sample008,Pos,HILab,2022-04-17
Sample009,Pos,HILab,2022-04-17
Sample010,Pos,HILab,2022-04-17
Sample011,Pos,HILab,2022-04-17
Sample012,Pos,HILab,2022-04-17
Sample013,Pos,HILab,2022-04-17
Sample014,Pos,HILab,2022-04-17
Sample015,Pos,HILab,2022-04-17
Sample016,Pos,HILab,2022-04-17
Sample017,Pos,HILab,2022-04-17
Sample018,Pos,HILab,2022-04-17
Sample019,Pos,HILab,2022-04-17
Sample020,Pos,HILab,2022-04-17
Sample021,Pos,HILab,2022-04-17
Sample022,Neg,HILab,2022-04-17
Sample023,Neg,HILab,2022-04-17
Sample024,Neg,HILab,2022-04-17
Sample025,Neg,HILab,2022-04-17
Sample026,Neg,HILab,2022-04-17
Sample027,Neg,HILab,2022-04-17
Sample028,Neg,HILab,2022-04-17
Sample029,Neg,HILab,2022-04-17
Sample030,Neg,HILab,2022-04-17
Sample031,Neg,HILab,2022-04-17
Sample032,Neg,HILab,2022-04-17
Sample033,Neg,HILab,2022-04-17
Sample034,Neg,HILab,2022-04-17
Sample035,Neg,HILab,2022-04-17
Sample036,Neg,HILab,2022-04-17
Sample037,Neg,HILab,2022-04-17
Sample038,Neg,HILab,2022-04-17
Sample039,Neg,HILab,2022-04-17
Sample040,Neg,HILab,2022-04-17
Sample041,Neg,HILab,2022-04-17
Sample042,Neg,HILab,2022-04-17
Sample043,Neg,HILab,2022-04-17
Sample044,Neg,HILab,2022-04-17
Sample045,Neg,HILab,2022-04-17
Sample046,Neg,HILab,2022-04-17
Sample047,Neg,HILab,2022-04-17
Sample048,Neg,HILab,2022-04-17
Sample049,Neg,HILab,2022-04-17
Sample050,Neg,HILab,2022-04-17
Sample051,Neg,HILab,2022-04-17
Sample052,Neg,HILab,2022-04-17
Sample053,Neg,HILab,2022-04-17
Sample054,Neg,HILab,2022-04-17
Sample055,Neg,HILab,2022-04-17
Sample056,Neg,HILab,2022-04-17
Sample057,Neg,HILab,2022-04-17
Sample058,Neg,HILab,2022-04-17
Sample059,Neg,HILab,2022-04-17
Sample060,Neg,HILab,2022-04-17
