,Class,Curator,Update
Sample001,Tumor,HILab,2022-04-17
Sample002,Normal,HILab,2022-04-17
Sample003,Tumor,HILab,2022-04-17
Sample004,Normal,HILab,2022-04-17
Sample005,Tumor,HILab,2022-04-17
Sample006,Normal,HILab,2022-04-17
Sample007,Tumor,HILab,2022-04-17
Sample008,Normal,HILab,2022-04-17
Sample009,Tumor,HILab,2022-04-17
Sample010,Normal,HILab,2022-04-17
Sample011,Tumor,HILab,2022-04-17
Sample012,Normal,HILab,2022-04-17
Sample013,Tumor,HILab,2022-04-17
Sample014,Normal,HILab,2022-04-17
Sample015,Tumor,HILab,2022-04-17
Sample016,Normal,HILab,2022-04-17
Sample017,Tumor,HILab,2022-04-17
Sample018,Normal,HILab,2022-04-17
Sample019,Tumor,HILab,2022-04-17
Sample020,Normal,HILab,2022-04-17
Sample021,Tumor,HILab,2022-04-17
Sample022,Normal,HILab,2022-04-17
Sample023,Tumor,HILab,2022-04-17
Sample024,Normal,HILab,2022-04-17
Sample025,Tumor,HILab,2022-04-17
Sample026,Tumor,HILab,2022-04-17
Sample027,Tumor,HILab,2022-04-17
Sample028,Tumor,HILab,2022-04-17
Sample029,Tumor,HILab,2022-04-17
Sample030,Tumor,HILab,2022-04-17
Sample031,Tumor,HILab,2022-04-17
Sample032,Tumor,HILab,2022-04-17
Sample033,Tumor,HILab,2022-04-17
Sample034,Tumor,HILab,2022-04-17
Sample035,Tumor,HILab,2022-04-17
Sample036,Tumor,HILab,2022-04-17
Sample037,Tumor,HILab,2022-04-17
Sample038,Tumor,HILab,2022-04-17
Sample039,Normal,HILab,2022-04-17
Sample040,Tumor,HILab,2022-04-17
Sample041,Tumor,HILab,2022-04-17
Sample042,Normal,HILab,2022-04-17
Sample043,Normal,HILab,2022-04-17
Sample044,Tumor,HILab,2022-04-17
Sample045,Tumor,HILab,2022-04-17
Sample046,Tumor,HILab,2022-04-17
Sample047,Tumor,HILab,2022-04-17
Sample048,Normal,HILab,2022-04-17
Sample049,Tumor,HILab,2022-04-17
Sample050,Normal,HILab,2022-04-17
Sample051,Normal,HILab,2022-04-17
Sample052,Tumor,HILab,2022-04-17
Sample053,Tumor,HILab,2022-04-17
Sample054,Normal,HILab,2022-04-17
Sample055,Normal,HILab,2022-04-17
Sample056,Tumor,HILab,2022-04-17
Sample057,Tumor,HILab,2022-04-17
Sample058,Tumor,HILab,2022-04-17
Sample059,Tumor,HILab,2022-04-17
Sample060,Normal,HILab,2022-04-17
Sample061,Tumor,HILab,2022-04-17
Sample062,Normal,HILab,2022-04-17
