,Class,Curator,Update
Sample001,non-malignant,HILab,2022-04-17
Sample002,tumor,HILab,2022-04-17
Sample003,tumor,HILab,2022-04-17
Sample004,tumor,HILab,2022-04-17
Sample005,tumor,HILab,2022-04-17
Sample006,non-malignant,HILab,2022-04-17
Sample007,tumor,HILab,2022-04-17
Sample008,non-malignant,HILab,2022-04-17
Sample009,non-malignant,HILab,2022-04-17
Sample010,non-malignant,HILab,2022-04-17
Sample011,non-malignant,HILab,2022-04-17
Sample012,tumor,HILab,2022-04-17
Sample013,non-malignant,HILab,2022-04-17
Sample014,non-malignant,HILab,2022-04-17
Sample015,non-malignant,HILab,2022-04-17
Sample016,non-malignant,HILab,2022-04-17
Sample017,non-malignant,HILab,2022-04-17
Sample018,tumor,HILab,2022-04-17
Sample019,tumor,HILab,2022-04-17
Sample020,tumor,HILab,2022-04-17
Sample021,tumor,HILab,2022-04-17
Sample022,tumor,HILab,2022-04-17
Sample023,tumor,HILab,2022-04-17
Sample024,tumor,HILab,2022-04-17
Sample025,tumor,HILab,2022-04-17
Sample026,tumor,HILab,2022-04-17
Sample027,tumor,HILab,2022-04-17
Sample028,non-malignant,HILab,2022-04-17
Sample029,non-malignant,HILab,2022-04-17
Sample030,non-malignant,HILab,2022-04-17
Sample031,non-malignant,HILab,2022-04-17
Sample032,non-malignant,HILab,2022-04-17
Sample033,non-malignant,HILab,2022-04-17
Sample034,non-malignant,HILab,2022-04-17
Sample035,non-malignant,HILab,2022-04-17
Sample036,non-malignant,HILab,2022-04-17
Sample037,non-malignant,HILab,2022-04-17
Sample038,non-malignant,HILab,2022-04-17
Sample039,non-malignant,HILab,2022-04-17
Sample040,non-malignant,HILab,2022-04-17
Sample041,non-malignant,HILab,2022-04-17
Sample042,non-malignant,HILab,2022-04-17
Sample043,non-malignant,HILab,2022-04-17
Sample044,non-malignant,HILab,2022-04-17
Sample045,non-malignant,HILab,2022-04-17
Sample046,non-malignant,HILab,2022-04-17
Sample047,tumor,HILab,2022-04-17
Sample048,tumor,HILab,2022-04-17
Sample049,tumor,HILab,2022-04-17
Sample050,tumor,HILab,2022-04-17
Sample051,tumor,HILab,2022-04-17
Sample052,tumor,HILab,2022-04-17
Sample053,tumor,HILab,2022-04-17
Sample054,tumor,HILab,2022-04-17
Sample055,tumor,HILab,2022-04-17
Sample056,non-malignant,HILab,2022-04-17
Sample057,non-malignant,HILab,2022-04-17
Sample058,non-malignant,HILab,2022-04-17
Sample059,non-malignant,HILab,2022-04-17
Sample060,non-malignant,HILab,2022-04-17
Sample061,non-malignant,HILab,2022-04-17
Sample062,tumor,HILab,2022-04-17
Sample063,tumor,HILab,2022-04-17
Sample064,tumor,HILab,2022-04-17
Sample065,tumor,HILab,2022-04-17
