,Class,Curator,Update
Sample001,N,HILab,2022-04-17
Sample002,T,HILab,2022-04-17
Sample003,N,HILab,2022-04-17
Sample004,T,HILab,2022-04-17
Sample005,N,HILab,2022-04-17
Sample006,T,HILab,2022-04-17
Sample007,N,HILab,2022-04-17
Sample008,T,HILab,2022-04-17
Sample009,N,HILab,2022-04-17
Sample010,T,HILab,2022-04-17
Sample011,N,HILab,2022-04-17
Sample012,T,HILab,2022-04-17
Sample013,N,HILab,2022-04-17
Sample014,T,HILab,2022-04-17
Sample015,N,HILab,2022-04-17
Sample016,T,HILab,2022-04-17
Sample017,N,HILab,2022-04-17
Sample018,T,HILab,2022-04-17
Sample019,N,HILab,2022-04-17
Sample020,T,HILab,2022-04-17
Sample021,N,HILab,2022-04-17
Sample022,T,HILab,2022-04-17
Sample023,N,HILab,2022-04-17
Sample024,T,HILab,2022-04-17
Sample025,N,HILab,2022-04-17
Sample026,T,HILab,2022-04-17
Sample027,N,HILab,2022-04-17
Sample028,T,HILab,2022-04-17
Sample029,N,HILab,2022-04-17
Sample030,T,HILab,2022-04-17
Sample031,N,HILab,2022-04-17
Sample032,T,HILab,2022-04-17
Sample033,N,HILab,2022-04-17
Sample034,T,HILab,2022-04-17
Sample035,N,HILab,2022-04-17
Sample036,T,HILab,2022-04-17
Sample037,N,HILab,2022-04-17
Sample038,T,HILab,2022-04-17
Sample039,N,HILab,2022-04-17
Sample040,T,HILab,2022-04-17
Sample041,N,HILab,2022-04-17
Sample042,T,HILab,2022-04-17
Sample043,N,HILab,2022-04-17
Sample044,T,HILab,2022-04-17
Sample045,N,HILab,2022-04-17
Sample046,T,HILab,2022-04-17
Sample047,N,HILab,2022-04-17
Sample048,T,HILab,2022-04-17
Sample049,N,HILab,2022-04-17
Sample050,T,HILab,2022-04-17
Sample051,N,HILab,2022-04-17
Sample052,T,HILab,2022-04-17
Sample053,N,HILab,2022-04-17
Sample054,T,HILab,2022-04-17
Sample055,N,HILab,2022-04-17
Sample056,T,HILab,2022-04-17
Sample057,N,HILab,2022-04-17
Sample058,T,HILab,2022-04-17
Sample059,N,HILab,2022-04-17
Sample060,T,HILab,2022-04-17
Sample061,N,HILab,2022-04-17
Sample062,T,HILab,2022-04-17
Sample063,N,HILab,2022-04-17
Sample064,T,HILab,2022-04-17
Sample065,N,HILab,2022-04-17
Sample066,T,HILab,2022-04-17
Sample067,N,HILab,2022-04-17
Sample068,T,HILab,2022-04-17
Sample069,N,HILab,2022-04-17
Sample070,T,HILab,2022-04-17
Sample071,N,HILab,2022-04-17
Sample072,T,HILab,2022-04-17
Sample073,N,HILab,2022-04-17
Sample074,T,HILab,2022-04-17
Sample075,N,HILab,2022-04-17
Sample076,T,HILab,2022-04-17
Sample077,N,HILab,2022-04-17
Sample078,T,HILab,2022-04-17
Sample079,N,HILab,2022-04-17
Sample080,T,HILab,2022-04-17
Sample081,N,HILab,2022-04-17
Sample082,T,HILab,2022-04-17
Sample083,N,HILab,2022-04-17
Sample084,T,HILab,2022-04-17
Sample085,N,HILab,2022-04-17
Sample086,T,HILab,2022-04-17
Sample087,N,HILab,2022-04-17
Sample088,T,HILab,2022-04-17
Sample089,N,HILab,2022-04-17
Sample090,T,HILab,2022-04-17
Sample091,N,HILab,2022-04-17
Sample092,T,HILab,2022-04-17
Sample093,N,HILab,2022-04-17
Sample094,T,HILab,2022-04-17
Sample095,N,HILab,2022-04-17
Sample096,T,HILab,2022-04-17
Sample097,N,HILab,2022-04-17
Sample098,T,HILab,2022-04-17
Sample099,N,HILab,2022-04-17
Sample100,T,HILab,2022-04-17
Sample101,N,HILab,2022-04-17
Sample102,T,HILab,2022-04-17
Sample103,N,HILab,2022-04-17
Sample104,T,HILab,2022-04-17
Sample105,N,HILab,2022-04-17
Sample106,T,HILab,2022-04-17
Sample107,N,HILab,2022-04-17
Sample108,T,HILab,2022-04-17
Sample109,N,HILab,2022-04-17
Sample110,T,HILab,2022-04-17
Sample111,N,HILab,2022-04-17
Sample112,T,HILab,2022-04-17
Sample113,N,HILab,2022-04-17
Sample114,T,HILab,2022-04-17
Sample115,N,HILab,2022-04-17
Sample116,T,HILab,2022-04-17
Sample117,N,HILab,2022-04-17
Sample118,T,HILab,2022-04-17
Sample119,N,HILab,2022-04-17
Sample120,T,HILab,2022-04-17
Sample121,N,HILab,2022-04-17
Sample122,T,HILab,2022-04-17
Sample123,N,HILab,2022-04-17
Sample124,T,HILab,2022-04-17
