,Class,Curator,Update
Sample001,ACL,HILab,2022-04-17
Sample002,ACL,HILab,2022-04-17
Sample003,ACL,HILab,2022-04-17
Sample004,ACL,HILab,2022-04-17
Sample005,ACL,HILab,2022-04-17
Sample006,ACL,HILab,2022-04-17
Sample007,GCL,HILab,2022-04-17
Sample008,GCL,HILab,2022-04-17
Sample009,GCL,HILab,2022-04-17
Sample010,GCL,HILab,2022-04-17
Sample011,GCL,HILab,2022-04-17
Sample012,GCL,HILab,2022-04-17
Sample013,GCL,HILab,2022-04-17
Sample014,GCL,HILab,2022-04-17
Sample015,ACL,HILab,2022-04-17
Sample016,GCL,HILab,2022-04-17
Sample017,ACL,HILab,2022-04-17
Sample018,ACL,HILab,2022-04-17
Sample019,ACL,HILab,2022-04-17
Sample020,GCL,HILab,2022-04-17
Sample021,GCL,HILab,2022-04-17
Sample022,GCL,HILab,2022-04-17
Sample023,GCL,HILab,2022-04-17
Sample024,GCL,HILab,2022-04-17
Sample025,GCL,HILab,2022-04-17
Sample026,ACL,HILab,2022-04-17
Sample027,GCL,HILab,2022-04-17
Sample028,ACL,HILab,2022-04-17
Sample029,GCL,HILab,2022-04-17
Sample030,ACL,HILab,2022-04-17
Sample031,ACL,HILab,2022-04-17
Sample032,ACL,HILab,2022-04-17
Sample033,GCL,HILab,2022-04-17
Sample034,GCL,HILab,2022-04-17
Sample035,ACL,HILab,2022-04-17
Sample036,ACL,HILab,2022-04-17
Sample037,GCL,HILab,2022-04-17
Sample038,ACL,HILab,2022-04-17
Sample039,ACL,HILab,2022-04-17
Sample040,ACL,HILab,2022-04-17
Sample041,ACL,HILab,2022-04-17
Sample042,GCL,HILab,2022-04-17
Sample043,ACL,HILab,2022-04-17
Sample044,ACL,HILab,2022-04-17
Sample045,GCL,HILab,2022-04-17
